subid,ntrial,estim,correct,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,response_onset,response_dur,id_distrac,dist_dur
38,1,4,1,0.865,1.415,0,12,34,20,55,90,8,20
38,2,6,1,NA,NA,0,12,34,20,55,90,2,20
38,3,8,1,NA,NA,0,12,34,20,55,90,7,20
38,4,2,1,0.449,7.183,0,12,34,20,55,180,nan,20
38,5,3,1,0.617,10.908,0,12,34,20,55,90,1,20
38,6,8,1,NA,NA,0,12,34,20,55,90,nan,20
38,7,4,1,0.366,14.779,0,12,34,20,55,90,6,20
38,8,7,1,NA,NA,0,12,34,20,55,180,nan,20
38,9,6,1,NA,NA,0,12,34,20,55,90,2,20
38,10,3,1,0.433,22.524,0,12,34,20,55,180,nan,20
38,11,4,1,0.466,26.115,0,12,34,20,55,90,1,20
38,12,8,0,0.316,28.025,0,12,34,20,55,180,3,20
38,13,8,1,NA,NA,0,12,34,20,55,180,1,20
38,14,8,1,NA,NA,0,12,34,20,55,90,nan,20
38,15,3,1,0.432,37.316,0,12,34,20,55,90,8,20
38,16,1,1,0.466,39.412,0,12,34,20,55,180,nan,20
38,17,8,1,NA,NA,0,12,34,20,55,180,nan,20
38,18,4,1,0.416,46.475,0,12,34,20,55,90,nan,20
38,19,6,1,NA,NA,0,12,34,20,55,180,nan,20
38,20,4,1,0.533,52.21,0,12,34,20,55,90,8,20
38,21,8,1,NA,NA,0,12,34,20,55,90,nan,20
38,22,1,1,0.466,56.266,0,12,34,20,55,90,nan,20
38,23,4,1,0.566,58.426,0,12,34,20,55,180,nan,20
38,24,8,1,NA,NA,0,12,34,20,55,90,8,20
38,25,1,1,0.351,63.829,0,12,34,20,55,90,nan,20
38,26,8,1,NA,NA,0,12,34,20,55,180,nan,20
38,27,2,1,0.334,69.431,0,12,34,20,55,180,nan,20
38,28,3,1,0.499,73.153,0,12,34,20,55,180,1,20
38,29,8,1,NA,NA,0,12,34,20,55,90,1,20
38,30,8,1,NA,NA,0,12,34,20,55,90,nan,20
