subid,ntrial,estim,correct,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,response_onset,response_dur,id_distrac,dist_dur
96,1,3,1,0.55,1.252,0,12,34,20,55,90,nan,20
96,2,1,1,0.501,3.269,0,12,34,20,55,180,6,20
96,3,7,1,NA,NA,0,12,34,20,55,90,nan,20
96,4,1,1,0.401,8.801,0,12,34,20,55,90,nan,20
96,5,7,1,NA,NA,0,12,34,20,55,180,6,20
96,6,7,1,NA,NA,0,12,34,20,55,180,nan,20
96,7,8,1,NA,NA,0,12,34,20,55,180,nan,20
96,8,2,1,0.434,21.599,0,12,34,20,55,180,6,20
96,9,2,1,0.434,25.166,0,12,34,20,55,180,nan,20
96,10,7,1,NA,NA,0,12,34,20,55,90,nan,20
96,11,7,1,NA,NA,0,12,34,20,55,90,6,20
96,12,4,1,0.434,32.865,0,12,34,20,55,180,nan,20
96,13,7,1,NA,NA,0,12,34,20,55,180,nan,20
96,14,7,1,NA,NA,0,12,34,20,55,90,8,20
96,15,8,1,NA,NA,0,12,34,20,55,90,nan,20
96,16,1,1,0.384,44.08,0,12,34,20,55,90,nan,20
96,17,7,1,NA,NA,0,12,34,20,55,180,3,20
96,18,7,1,NA,NA,0,12,34,20,55,90,4,20
96,19,1,1,0.368,51.763,0,12,34,20,55,180,3,20
96,20,4,1,0.818,55.778,0,12,34,20,55,180,nan,20
96,21,1,1,0.368,58.895,0,12,34,20,55,90,4,20
96,22,3,1,0.501,61.094,0,12,34,20,55,90,6,20
96,23,1,1,0.35,63.01,0,12,34,20,55,90,6,20
96,24,7,1,NA,NA,0,12,34,20,55,180,4,20
96,25,3,1,0.368,68.66,0,12,34,20,55,180,nan,20
96,26,8,1,NA,NA,0,12,34,20,55,180,8,20
96,27,4,1,0.518,75.942,0,12,34,20,55,180,6,20
96,28,7,1,NA,NA,0,12,34,20,55,180,nan,20
96,29,7,1,NA,NA,0,12,34,20,55,90,nan,20
96,30,1,1,0.467,85.091,0,12,34,20,55,180,nan,20
