subid,ntrial,estim,correct,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,response_onset,response_dur,id_distrac,dist_dur
96,1,4,1,0.517,1.085,0,12,34,20,55,90,nan,20
96,2,7,1,NA,NA,0,12,34,20,55,90,nan,20
96,3,1,1,0.517,5.218,0,12,34,20,55,180,nan,20
96,4,6,1,NA,NA,0,12,34,20,55,180,nan,20
96,5,8,1,NA,NA,0,12,34,20,55,90,nan,20
96,6,2,1,0.467,14.367,0,12,34,20,55,90,3,20
96,7,7,1,NA,NA,0,12,34,20,55,90,1,20
96,8,8,1,NA,NA,0,12,34,20,55,180,nan,20
96,9,4,1,0.451,22.049,0,12,34,20,55,180,nan,20
96,10,8,1,NA,NA,0,12,34,20,55,180,3,20
96,11,4,1,0.434,29.165,0,12,34,20,55,90,8,20
96,12,2,1,0.584,31.381,0,12,34,20,55,90,nan,20
96,13,3,1,0.618,33.481,0,12,34,20,55,90,1,20
96,14,6,1,NA,NA,0,12,34,20,55,90,nan,20
96,15,4,1,0.534,37.53,0,12,34,20,55,180,1,20
96,16,7,1,NA,NA,0,12,34,20,55,90,nan,20
96,17,7,1,NA,NA,0,12,34,20,55,90,nan,20
96,18,7,1,NA,NA,0,12,34,20,55,180,nan,20
96,19,1,1,0.401,48.663,0,12,34,20,55,180,1,20
96,20,7,0,0.501,52.328,0,12,34,20,55,180,7,20
96,21,1,1,0.55,55.944,0,12,34,20,55,90,7,20
96,22,8,1,NA,NA,0,12,34,20,55,90,nan,20
96,23,7,1,NA,NA,0,12,34,20,55,180,nan,20
96,24,2,1,0.535,63.628,0,12,34,20,55,180,1,20
96,25,3,1,0.551,67.21,0,12,34,20,55,180,1,20
96,26,1,1,0.517,70.742,0,12,34,20,55,180,8,20
96,27,8,1,NA,NA,0,12,34,20,55,90,nan,20
96,28,6,0,0.402,76.259,0,12,34,20,55,90,6,20
96,29,1,1,0.584,78.508,0,12,34,20,55,180,nan,20
96,30,3,1,0.6,82.091,0,12,34,20,55,90,7,20
