subid,ntrial,estim,correct,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,response_onset,response_dur,id_distrac,dist_dur
102,1,8,1,NA,NA,0,12,34,20,55,180,7,20
102,2,8,1,NA,NA,0,12,34,20,55,90,nan,20
102,3,6,1,NA,NA,0,12,34,20,55,180,nan,20
102,4,2,0,NA,NA,0,12,34,20,55,90,3,20
102,5,7,0,0.535,12.355,0,12,34,20,55,180,nan,20
102,6,8,1,NA,NA,0,12,34,20,55,90,nan,20
102,7,1,1,0.517,17.969,0,12,34,20,55,90,3,20
102,8,8,1,NA,NA,0,12,34,20,55,90,7,20
102,9,3,1,0.534,22.119,0,12,34,20,55,90,nan,20
102,10,7,1,NA,NA,0,12,34,20,55,90,nan,20
102,11,8,1,NA,NA,0,12,34,20,55,180,nan,20
102,12,1,1,0.584,29.868,0,12,34,20,55,180,7,20
102,13,3,1,0.517,33.367,0,12,34,20,55,180,1,20
102,14,8,1,NA,NA,0,12,34,20,55,90,nan,20
102,15,2,1,0.484,38.966,0,12,34,20,55,90,8,20
102,16,1,1,0.468,41.016,0,12,34,20,55,90,nan,20
102,17,1,1,0.434,43.049,0,12,34,20,55,90,nan,20
102,18,6,0,0.484,45.165,0,12,34,20,55,90,8,20
102,19,7,1,NA,NA,0,12,34,20,55,180,1,20
102,20,4,1,0.584,50.897,0,12,34,20,55,180,7,20
102,21,6,1,NA,NA,0,12,34,20,55,180,nan,20
102,22,6,1,NA,NA,0,12,34,20,55,180,nan,20
102,23,4,1,0.467,61.479,0,12,34,20,55,180,nan,20
102,24,4,1,0.451,65.028,0,12,34,20,55,90,3,20
102,25,4,1,0.45,67.094,0,12,34,20,55,180,2,20
102,26,1,1,0.451,70.661,0,12,34,20,55,90,8,20
102,27,6,0,0.468,72.744,0,12,34,20,55,180,nan,20
102,28,3,1,0.501,76.343,0,12,34,20,55,180,nan,20
102,29,7,1,NA,NA,0,12,34,20,55,90,3,20
102,30,2,1,0.401,81.875,0,12,34,20,55,180,nan,20
