subid,ntrial,estim,correct,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,response_onset,response_dur,id_distrac,dist_dur
37,1,3,1,0.501,1.169,0,12,34,20,55,90,1,20
37,2,1,1,0.517,3.251,0,12,34,20,55,180,nan,20
37,3,6,1,NA,NA,0,12,34,20,55,180,nan,20
37,4,6,1,NA,NA,0,12,34,20,55,90,nan,20
37,5,2,1,0.467,12.4,0,12,34,20,55,180,nan,20
37,6,2,1,0.417,15.916,0,12,34,20,55,90,6,20
37,7,3,1,0.434,18.0,0,12,34,20,55,180,nan,20
37,8,8,1,NA,NA,0,12,34,20,55,90,nan,20
37,9,3,1,0.334,23.532,0,12,34,20,55,180,4,20
37,10,3,1,0.368,27.132,0,12,34,20,55,180,4,20
37,11,2,1,0.401,30.731,0,12,34,20,55,90,3,20
37,12,6,1,NA,NA,0,12,34,20,55,180,nan,20
37,13,7,1,NA,NA,0,12,34,20,55,90,nan,20
37,14,7,1,NA,NA,0,12,34,20,55,180,nan,20
37,15,6,1,NA,NA,0,12,34,20,55,180,6,20
37,16,3,1,0.434,45.596,0,12,34,20,55,180,nan,20
37,17,6,1,NA,NA,0,12,34,20,55,90,nan,20
37,18,8,1,NA,NA,0,12,34,20,55,90,6,20
37,19,7,1,NA,NA,0,12,34,20,55,180,7,20
37,20,1,1,0.384,56.811,0,12,34,20,55,180,8,20
37,21,4,1,0.484,60.477,0,12,34,20,55,180,nan,20
37,22,6,1,NA,NA,0,12,34,20,55,180,nan,20
37,23,4,1,0.384,67.51,0,12,34,20,55,180,6,20
37,24,3,1,0.384,71.076,0,12,34,20,55,180,6,20
37,25,8,1,NA,NA,0,12,34,20,55,90,nan,20
37,26,2,1,0.334,76.659,0,12,34,20,55,180,3,20
37,27,7,1,NA,NA,0,12,34,20,55,90,nan,20
37,28,7,1,NA,NA,0,12,34,20,55,180,nan,20
37,29,6,1,NA,NA,0,12,34,20,55,180,3,20
37,30,2,1,0.399,89.489,0,12,34,20,55,90,8,20
